Intensity,Average Distance,Min Distance,Max Distance
0.001,17268.7,16580,17728
0.002,16881.56,16322,17322
0.003,16449.44,15860,17022
0.004,16071.76,15466,16572
0.005,15729.18,15286,16136
0.006,15293.68,14854,15726
0.007,14929.06,14442,15638
0.008,14652.08,14032,15130
0.009000000000000001,14353.26,13764,15008
0.010000000000000002,14142.72,13624,14588
0.011,13972.36,13384,14492
0.012,13764.54,13394,14266
0.013000000000000001,13609.8,13174,14048
0.014000000000000002,13448.6,12982,13928
0.015,13326.06,12672,13734
0.016,13177.24,12654,13718
0.017,13100.94,12658,13620
0.018000000000000002,12966.42,12620,13382
0.019000000000000003,12896.2,12410,13444
0.02,12816.2,12460,13244
0.021,12759.9,12204,13088
0.022000000000000002,12694.64,12318,13152
0.023,12567.4,12008,13094
0.024,12556.96,12064,12966
0.025,12504.28,12100,12828
0.026000000000000002,12436.14,12030,12798
0.027000000000000003,12419.58,12112,12946
0.028,12366.62,11988,12716
0.029,12343.7,12040,12728
0.030000000000000002,12282.0,11900,12638
0.031,12237.96,11894,12578
0.032,12208.44,11644,12582
0.033,12165.92,11842,12588
0.034,12143.9,11782,12576
0.035,12125.94,11778,12504
0.036000000000000004,12112.48,11766,12440
0.037000000000000005,12050.86,11676,12478
0.038,12057.88,11546,12422
0.039,12029.34,11746,12504
0.04,11979.86,11656,12492
0.041,11970.16,11638,12360
0.042,11963.54,11678,12236
0.043000000000000003,11962.34,11654,12268
0.044000000000000004,11934.42,11692,12216
0.045,11919.54,11582,12280
0.046,11908.28,11626,12322
0.047,11871.46,11502,12156
0.048,11861.2,11648,12152
0.049,11855.56,11564,12170
0.05,11844.48,11560,12266
0.051000000000000004,11840.62,11618,12152
0.052000000000000005,11805.16,11532,12114
0.053000000000000005,11825.28,11534,12130
0.054,11785.38,11466,12092
0.055,11761.86,11488,12174
0.056,11750.22,11456,12048
0.057,11765.74,11484,12044
0.058,11735.02,11446,12022
0.059000000000000004,11736.86,11454,11946
0.060000000000000005,11732.94,11466,12006
0.061,11703.44,11390,11974
0.062,11708.66,11466,11980
0.063,11706.44,11432,11948
0.064,11682.96,11370,11944
0.065,11668.4,11382,11988
0.066,11667.02,11294,11928
0.067,11642.74,11380,11878
0.068,11686.64,11438,12018
0.069,11639.74,11408,11884
0.07,11645.66,11408,11882
0.07100000000000001,11618.76,11372,11892
0.07200000000000001,11643.38,11264,11860
0.07300000000000001,11614.9,11400,11872
0.074,11617.34,11416,11866
0.075,11598.12,11274,11816
0.076,11613.02,11332,11812
0.077,11610.28,11374,11822
0.078,11597.92,11380,11816
0.079,11594.86,11362,11836
0.08,11584.84,11314,11822
0.081,11572.64,11266,11856
0.082,11597.3,11342,11878
0.083,11564.56,11320,11778
0.084,11584.28,11384,11818
0.085,11556.0,11340,11878
0.08600000000000001,11565.6,11282,11770
0.08700000000000001,11573.38,11242,11786
0.08800000000000001,11555.12,11350,11824
0.089,11559.54,11352,11792
0.09,11543.08,11372,11736
0.091,11540.78,11276,11750
0.092,11542.94,11230,11798
0.093,11544.5,11326,11830
0.094,11512.26,11242,11752
0.095,11525.3,11220,11812
0.096,11519.44,11366,11692
0.097,11517.44,11358,11766
0.098,11519.88,11224,11678
0.099,11521.1,11210,11734
0.1,11504.04,11338,11746
0.101,11509.06,11312,11718
0.10200000000000001,11495.28,11302,11726
0.10300000000000001,11494.66,11282,11732
0.10400000000000001,11496.52,11274,11662
0.10500000000000001,11483.9,11230,11720
0.106,11491.14,11302,11726
0.107,11488.54,11242,11744
0.108,11487.8,11294,11650
0.109,11465.44,11218,11664
0.11,11468.0,11224,11710
0.111,11476.66,11270,11658
0.112,11468.1,11164,11712
0.113,11463.06,11268,11766
0.114,11463.04,11198,11726
0.115,11460.6,11192,11676
0.116,11462.12,11226,11650
0.117,11458.44,11232,11696
0.11800000000000001,11472.34,11302,11692
0.11900000000000001,11434.3,11222,11664
0.12000000000000001,11443.62,11248,11662
0.121,11451.64,11176,11648
0.122,11441.46,11180,11628
0.123,11434.54,11234,11672
0.124,11439.96,11256,11668
0.125,11438.14,11182,11680
0.126,11433.76,11204,11776
0.127,11425.38,11206,11642
0.128,11439.5,11260,11666
0.129,11424.02,11208,11648
0.13,11415.76,11230,11598
0.131,11435.8,11216,11662
0.132,11420.68,11186,11618
0.133,11411.48,11210,11618
0.134,11437.0,11108,11674
0.135,11418.88,11160,11610
0.136,11414.7,11212,11650
0.137,11421.28,11196,11590
0.138,11418.54,11158,11572
0.139,11398.3,11206,11596
0.14,11421.36,11266,11632
0.14100000000000001,11413.28,11234,11578
0.14200000000000002,11405.62,11184,11574
0.14300000000000002,11404.58,11202,11588
0.14400000000000002,11409.64,11232,11608
0.14500000000000002,11397.92,11162,11604
0.146,11412.08,11192,11656
0.147,11395.64,11202,11582
0.148,11403.24,11176,11550
0.149,11392.1,11202,11582
0.15,11377.66,11136,11568
0.151,11377.38,11176,11556
0.152,11393.86,11208,11606
0.153,11391.26,11156,11554
0.154,11394.38,11216,11564
0.155,11387.58,11148,11554
0.156,11399.84,11216,11630
0.157,11376.96,11156,11582
0.158,11386.42,11188,11636
0.159,11365.94,11004,11650
0.16,11386.12,11154,11570
0.161,11378.34,11148,11612
0.162,11392.5,11202,11594
0.163,11373.56,11148,11558
0.164,11362.86,11108,11580
0.165,11359.06,11130,11546
0.166,11388.68,11120,11602
0.167,11381.66,11156,11558
0.168,11369.26,11154,11666
0.169,11366.28,11134,11538
0.17,11365.7,11176,11560
0.171,11363.38,11182,11534
0.17200000000000001,11369.22,11164,11536
0.17300000000000001,11368.64,11194,11540
0.17400000000000002,11355.42,11114,11532
0.17500000000000002,11355.58,11180,11488
0.17600000000000002,11355.36,11142,11624
0.177,11374.96,11132,11570
0.178,11368.54,11184,11622
0.179,11358.84,11192,11550
0.18,11357.78,11188,11544
0.181,11355.88,11092,11516
0.182,11367.86,11136,11616
0.183,11358.0,11162,11580
