Intensity,Average Distance,Min Distance,Max Distance
0.001,0.0,0,0
0.002,0.0,0,0
0.003,0.0,0,0
0.004,0.0,0,0
0.005,0.0,0,0
0.006,0.0,0,0
0.007,40.34,0,514
0.008,94.09,0,1115
0.009000000000000001,86.69,0,1115
0.010000000000000002,204.05,0,1115
0.011,272.58,0,1115
0.012,379.48,0,1115
0.013000000000000001,400.71,0,1783
0.014000000000000002,483.28,0,1785
0.015,496.58,0,1785
0.016,712.83,0,1876
0.017,770.18,0,1787
0.018000000000000002,899.87,0,2587
0.019000000000000003,1031.42,0,2585
0.02,1168.83,0,3513
0.021,1173.44,0,3392
0.022000000000000002,1247.59,0,3513
0.023,1457.14,0,3513
0.024,1704.86,0,3638
0.025,1708.86,0,4432
0.026000000000000002,2092.29,488,4712
0.027000000000000003,1981.3,488,4712
0.028,2231.43,0,5600
0.029,2408.61,514,5755
0.030000000000000002,2607.35,0,5000
0.031,2600.88,52,5910
0.032,2810.82,1113,6232
0.033,3163.91,514,6232
0.034,3228.53,1111,6230
0.035,3401.16,1036,6725
0.036000000000000004,3481.52,1095,6560
0.037000000000000005,3739.51,1024,6894
0.038,3652.35,612,6232
0.039,3926.29,1334,6560
0.04,4173.05,1785,8318
0.041,4458.78,825,7415
0.042,4735.01,2266,7590
0.043000000000000003,4716.74,1781,7590
0.044000000000000004,5231.45,1431,7950
0.045,5193.49,1969,9078
0.046,5497.37,1969,8885
0.047,5426.03,2048,9273
0.048,5593.12,2474,8887
0.049,5933.7,3033,9872
0.05,6367.04,1781,9470
0.051000000000000004,6191.21,2476,10280
0.052000000000000005,6669.84,2480,10276
0.053000000000000005,6702.67,3025,10075
0.054,6895.58,3390,11118
0.055,7099.28,3265,11771
0.056,7343.08,3386,11769
0.057,7726.08,4019,11548
0.058,7999.46,3033,13830
0.059000000000000004,7927.33,3265,12213
0.060000000000000005,8306.65,3763,12894
0.061,8411.81,3513,13581
0.062,8794.25,5439,14310
0.063,8672.31,4571,14551
0.064,9369.13,4569,14796
0.065,9389.24,4569,15045
0.066,9557.3,4569,15294
0.067,9803.79,6065,14794
0.068,10073.08,5600,15290
0.069,10515.8,5910,15290
0.07,11084.99,6067,16308
0.07100000000000001,11200.59,7061,16567
0.07200000000000001,11511.14,6069,16306
0.07300000000000001,11323.45,6727,17089
0.074,11887.88,5592,19271
0.075,12204.34,7948,17358
0.076,12526.87,5445,17356
0.077,12603.46,7228,18163
0.078,12913.48,7769,20114
0.079,12731.4,6554,20116
0.08,14137.04,8133,20975
0.081,14202.8,9078,20114
0.082,14278.39,8885,21569
0.083,14424.05,8883,21278
0.084,15284.0,10063,24633
0.085,15359.58,9273,21278
0.08600000000000001,15711.18,8304,24314
0.08700000000000001,16102.13,10278,23074
0.08800000000000001,16688.3,9665,25911
0.089,17083.62,11329,23692
0.09,17061.61,11118,24003
0.091,17990.13,11757,25911
0.092,17667.05,10694,24629
0.093,18539.05,11116,28902
0.094,18454.41,9864,26565
0.095,19333.02,10688,28228
0.096,19557.53,11550,26561
0.097,20297.1,11116,33156
0.098,20579.63,11767,29596
0.099,21736.94,13832,30294
0.1,22623.98,15039,29943
0.101,22509.9,14551,31000
0.10200000000000001,23303.29,11120,35011
0.10300000000000001,23249.08,14300,34636
0.10400000000000001,23790.18,14063,35390
0.10500000000000001,24642.05,16051,38085
0.106,25759.61,14798,34265
0.107,26137.1,17621,37301
0.108,26428.92,17623,41690
0.109,27386.42,14551,42512
0.11,27966.7,15798,38468
0.111,29844.96,18978,42107
0.112,29788.4,18990,44607
0.113,29482.07,17091,47189
0.114,30399.48,20116,45028
0.115,31099.02,19546,46754
0.116,31572.6,19269,46323
0.117,30981.7,19263,46321
0.11800000000000001,31895.19,20684,42514
0.11900000000000001,33421.6,21559,48067
0.12000000000000001,33603.93,20118,49839
0.121,34169.7,22771,47185
0.122,33238.57,18992,45888
0.123,35242.45,20112,51650
0.124,35841.02,22171,49847
0.125,35437.1,20694,49837
0.126,36665.56,24007,51647
0.127,37709.6,25271,48065
0.128,37400.49,22171,52112
0.129,36587.55,23074,48063
0.13,39018.31,23080,53487
0.131,39730.92,27215,53016
0.132,39155.99,20114,54414
0.133,40000.29,26565,57268
0.134,40899.3,27889,55834
0.135,40791.5,25265,56783
0.136,41529.2,26561,56780
0.137,43561.16,31347,59688
0.138,41634.82,28908,58225
0.139,42156.88,28900,56305
0.14,42436.18,26890,57742
0.14100000000000001,43320.2,28230,60175
0.14200000000000002,44367.59,29598,61163
0.14300000000000002,44225.47,28224,62163
0.14400000000000002,44904.02,29594,61160
0.14500000000000002,45041.3,27893,65196
0.146,47078.66,30637,62165
0.147,45784.49,33160,60676
0.148,46147.39,30996,62155
0.149,46247.58,31706,63157
0.15,46752.28,31351,62661
0.151,46726.96,34265,62660
0.152,46944.21,31347,66221
0.153,47834.72,33878,63170
0.154,48352.54,32069,61660
0.155,48392.03,28557,67782
0.156,48596.82,34636,63673
0.157,49112.47,31355,63157
0.158,49041.38,33892,64182
0.159,49380.28,32067,67260
0.16,49835.64,35386,63673
0.161,50366.92,36535,64683
0.162,49075.98,35376,65192
0.163,50800.29,38081,66736
0.164,49628.51,36142,60673
0.165,51642.36,30282,64691
0.166,51510.55,36918,66224
0.167,50835.81,34263,65708
0.168,50413.56,33515,65204
0.169,52181.92,35771,63663
0.17,51302.22,36148,67781
0.171,51763.74,40457,64177
0.17200000000000001,52421.21,36908,65717
0.17300000000000001,52309.6,33889,66226
0.17400000000000002,53638.6,34634,70941
0.17500000000000002,52011.37,38069,65188
0.17600000000000002,53825.15,38472,70420
0.177,53735.39,38476,68301
0.178,53129.45,38079,70416
0.179,53113.43,37692,66749
0.18,53921.81,32069,72014
0.181,53836.82,38075,64691
0.182,54056.15,33525,72564
0.183,54880.42,38472,67256
0.184,54001.85,39266,74730
0.185,55282.55,34264,69353
0.186,56215.15,40062,68833
0.187,55079.94,36916,69868
0.188,54432.45,39661,68307
0.189,54709.88,40062,68308
0.19,55680.43,33156,73099
0.191,55028.08,36143,68831
0.192,55283.92,35007,67263
0.193,55706.49,42095,69352
0.194,55566.38,43761,69354
0.195,56722.72,38472,70421
0.196,56935.28,41688,71481
0.197,55118.57,40874,70947
0.198,57013.86,39256,67782
0.199,56821.9,44181,70422
0.2,57298.34,43770,70406
0.201,56355.96,43352,72559
0.202,56761.77,37306,70953
0.203,57381.8,42093,76937
0.20400000000000001,56337.01,38470,67243
